"PLANTID" "GARDENID" "YEAR" "SEASON" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"193" "GON_1046" "GON" 2022 "S2" 12.32 10.81 10
"194" "GON_1046" "GON" 2022 "S2" 8.75 7.62 10
"195" "GON_1046" "GON" 2022 "S2" 8.07 6.69 9
"196" "GON_1046" "GON" 2022 "S2" 11.07 9.56 10
"197" "GON_1046" "GON" 2022 "S2" 10.47 9.22 10
"198" "GON_1047" "GON" 2021 "S3" 14.64 11.03 10
"199" "GON_1047" "GON" 2021 "S3" 12.8 12.38 NA
"200" "GON_1047" "GON" 2021 "S3" 14.52 11.1 NA
"201" "GON_1047" "GON" 2021 "S3" 12.47 10.03 NA
"202" "GON_1047" "GON" 2021 "S3" 15.19 9.65 NA
"203" "GON_1047" "GON" 2022 "S2" 9.69 10.56 10
"204" "GON_1047" "GON" 2022 "S2" 11.9 12.09 10
"205" "GON_1047" "GON" 2022 "S2" 8.81 9.76 10
"206" "GON_1047" "GON" 2022 "S2" 11.19 10.76 10
"207" "GON_1047" "GON" 2022 "S2" 10.61 10.18 10
"208" "GON_1048" "GON" 2022 "S2" 11.66 9.95 10
"209" "GON_1048" "GON" 2022 "S2" 10.45 9.94 10
"210" "GON_1048" "GON" 2022 "S2" 11.98 11 10
"211" "GON_1048" "GON" 2022 "S2" 12.05 11.71 10
"212" "GON_1048" "GON" 2022 "S2" 9.8 7.37 9
"213" "GON_1049" "GON" 2021 "S3" 12.5 8.95 10
"214" "GON_1049" "GON" 2022 "S2" 8.21 9.99 7
"215" "GON_1049" "GON" 2022 "S2" 6.41 6.61 8
"216" "GON_1049" "GON" 2022 "S2" 7.32 7.2 5
"217" "GON_1049" "GON" 2022 "S2" 6 7.52 7
"218" "GON_1049" "GON" 2022 "S2" 8.17 7.37 6
"219" "GON_1051" "GON" 2022 "S2" 10.92 10.06 10
"220" "GON_1051" "GON" 2022 "S2" 10.26 9.96 10
"221" "GON_1051" "GON" 2022 "S2" 6.81 6.18 10
"222" "GON_1052" "GON" 2022 "S2" 9.38 8.05 10
"223" "GON_1052" "GON" 2022 "S2" 9.43 7.92 10
"224" "GON_1052" "GON" 2022 "S2" 10.1 9.1 10
"225" "GON_1053" "GON" 2022 "S2" 12.66 12.15 10
"226" "GON_1053" "GON" 2022 "S2" 12.2 10.21 10
"227" "GON_1053" "GON" 2022 "S2" 10.56 7.78 10
"228" "GON_1053" "GON" 2022 "S2" 11.86 9.91 10
"229" "GON_1053" "GON" 2022 "S2" 10.25 10.25 10
"230" "GON_1056" "GON" 2022 "S2" 10.26 9.9 7
"231" "GON_1056" "GON" 2022 "S2" 11.89 10.5 10
"232" "GON_1056" "GON" 2022 "S2" 10.96 11.33 9
"233" "GON_1056" "GON" 2022 "S2" 9.95 9.82 9
"234" "GON_1056" "GON" 2022 "S2" 10.53 11.68 10
"235" "GON_1058" "GON" 2021 "S2" 16.37 13.01 10
"236" "GON_1058" "GON" 2021 "S2" 18.16 14.72 10
"237" "GON_1058" "GON" 2021 "S2" NA NA NA
"238" "GON_1058" "GON" 2021 "S3" 11.31 10.55 10
"239" "GON_1058" "GON" 2022 "S2" 9.94 8.72 10
"240" "GON_1058" "GON" 2022 "S2" 12.78 10.4 10
"241" "GON_1058" "GON" 2022 "S2" 10.95 8.38 10
"242" "GON_1058" "GON" 2022 "S2" 10.37 8.53 10
"243" "GON_1058" "GON" 2022 "S2" 9.67 9.09 10
"244" "GON_1059" "GON" 2022 "S2" 9.53 9.22 10
"245" "GON_1059" "GON" 2022 "S2" 10.47 8.25 10
"246" "GON_1059" "GON" 2022 "S2" 11.12 9.11 10
"247" "GON_1059" "GON" 2022 "S2" 11.6 10.84 10
"248" "GON_1059" "GON" 2022 "S2" 8.81 6.99 10
"249" "GON_1060" "GON" 2021 "S3" 10.34 8.51 10
"250" "GON_1060" "GON" 2022 "S2" 11.32 10.59 10
"251" "GON_1060" "GON" 2022 "S2" 10.16 9.81 10
"252" "GON_1060" "GON" 2022 "S2" 8.14 8.02 6
"253" "GON_1060" "GON" 2022 "S2" 9.09 9.42 10
"254" "GON_1068" "GON" 2022 "S2" 7.28 8.55 4
"255" "GON_1068" "GON" 2022 "S2" 9.22 13.04 9
"256" "GON_1068" "GON" 2022 "S2" 10.68 14.76 10
"257" "GON_1068" "GON" 2022 "S2" 6.94 10.33 7
"258" "GON_1069" "GON" 2022 "S2" 10.38 13.61 10
"259" "GON_1069" "GON" 2022 "S2" 9.05 11.49 10
"260" "GON_1069" "GON" 2022 "S2" 7.67 8.33 4
"261" "GON_1069" "GON" 2022 "S2" 11.41 13.94 10
"262" "GON_1069" "GON" 2022 "S2" 9.71 11.05 10
"263" "GON_1072" "GON" 2022 "S2" 13.27 13.7 10
"264" "GON_1072" "GON" 2022 "S2" 11.85 10.74 10
"265" "GON_1072" "GON" 2022 "S2" 10.47 10.54 10
"266" "GON_1072" "GON" 2022 "S2" 11.55 9.86 10
"267" "GON_1072" "GON" 2022 "S2" 10.99 13.71 10
"268" "GON_1073" "GON" 2022 "S2" 9.75 10.88 10
"269" "GON_1073" "GON" 2022 "S2" 11.02 12.19 9
"270" "GON_1073" "GON" 2022 "S2" 10.38 13.39 10
"271" "GON_1073" "GON" 2022 "S2" 7.85 11.78 9
"272" "GON_1073" "GON" 2022 "S2" 10.88 10.8 10
"273" "GON_1077" "GON" 2022 "S2" 10.47 10.17 10
"274" "GON_1077" "GON" 2022 "S2" 11.52 12.47 10
"275" "GON_1077" "GON" 2022 "S2" 11.34 10.98 10
"276" "GON_1077" "GON" 2022 "S2" 11.89 11.8 10
"277" "GON_1077" "GON" 2022 "S2" 11.68 12.98 10
"278" "GON_1078" "GON" 2022 "S2" 11.72 11.13 10
"279" "GON_1078" "GON" 2022 "S2" 12.66 12.18 10
"280" "GON_1078" "GON" 2022 "S2" 11.86 9.93 9
